cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
97,168,13.027443181547618,77.54286375535715,0.00048608285470023223,0.0008029928827023804,147,36,5,Saturday,['NO PARKING'],0.21428571428571427,104.19075834918911,203.99999999999997,90
140,152,12.989723524342105,77.55331300657895,0.00038697076450579877,0.0006332609468798704,137,49,23,Wednesday,['WRONG PARKING'],0.3223684210526316,82.37709277900173,201.0,91
159,167,13.008784367065868,77.54305530598802,0.000676467158789622,0.00024347303522010875,152,30,22,Friday,['NO PARKING'],0.17964071856287425,79.80328273946014,197.0,92
247,139,13.035112243165468,77.62465430071943,0.0009130193070687262,0.0007036468857245527,112,52,21,Saturday,['NO PARKING'],0.37410071942446044,127.94998430634813,190.99999999999997,93
538,148,12.992611391891893,77.55807727297298,0.0001337228581467997,0.0006175807626963934,135,42,6,Friday,['WRONG PARKING'],0.28378378378378377,70.14003848817374,190.0,94
106,118,12.87590724661017,77.64798102203389,0.000584466338612591,0.0006092946106669546,113,64,21,Sunday,['WRONG PARKING'],0.5423728813559322,93.7171904565565,182.0,95
78,102,13.062851258823528,77.58701903137255,0.0008902623527382319,0.00019784610580338158,94,78,8,Thursday,['WRONG PARKING'],0.7647058823529411,101.22993931542312,180.0,96
321,130,13.040015912564103,77.51850481794872,0.0004173861449661197,0.00040874198222067866,126,49,21,Sunday,['NO PARKING'],0.3769230769230769,64.84539837434154,179.0,97
86,141,12.967982784397163,77.58855127588652,0.0001820979384380275,0.0002177512581212557,135,38,21,Thursday,['NO PARKING'],0.2695035460992908,31.50821951018171,179.0,98
9,160,12.988969675146118,77.59233582267048,0.0006777182374068236,0.0005900851637418254,154,13,0,Saturday,['NO PARKING'],0.08125,99.74586920281148,173.0,99
276,154,12.985099014285714,77.56008478766233,0.0011680837053359137,0.00014427755582368677,123,18,5,Wednesday,['WRONG PARKING'],0.11688311688311688,130.64259367769776,172.0,100
